index,has_he a,has_dat,status
0001,True,True,OK
0002,True,True,OK
0003,True,True,OK
0004,True,True,OK
0005,True,True,OK
0006,True,True,OK
0007,True,True,OK
0008,True,True,OK
0009,True,True,OK
0010,True,True,OK
0011,True,True,OK
0012,True,True,OK
0013,True,True,OK
0014,True,True,OK
0015,True,True,OK
0016,True,True,OK
0017,True,True,OK
0018,True,True,OK
0019,True,True,OK
0020,True,True,OK
0021,True,True,OK
0022,True,True,OK
0023,True,True,OK
0024,True,True,OK
0025,True,True,OK
0026,True,True,OK
0027,True,True,OK
0028,True,True,OK
0029,True,True,OK
0030,True,True,OK
0031,True,True,OK
0032,True,True,OK
0033,True,True,OK
0034,True,True,OK
0035,True,True,OK
0036,True,True,OK
0037,True,True,OK
0038,True,True,OK
0039,True,True,OK
0040,True,True,OK
0041,True,True,OK
0042,True,True,OK
0043,True,True,OK
0044,True,True,OK
0045,True,True,OK
0046,True,True,OK
0047,True,True,OK
0048,True,True,OK
0049,True,True,OK
0050,True,True,OK
0051,True,True,OK
0052,True,True,OK
0053,True,True,OK
0054,True,True,OK
0055,True,True,OK
0056,True,True,OK
0057,True,True,OK
0058,True,True,OK
0059,True,True,OK
0060,True,True,OK
0061,True,True,OK
0062,True,True,OK
0063,True,True,OK
0064,True,True,OK
0065,True,True,OK
0066,True,True,OK
0067,True,True,OK
0068,True,True,OK
0069,True,True,OK
0070,True,True,OK
0071,True,True,OK
0072,True,True,OK
0073,True,True,OK
0074,True,True,OK
0075,True,True,OK
0076,True,True,OK
0077,True,True,OK
0078,True,True,OK
0079,True,True,OK
0080,True,True,OK
0081,True,True,OK
0082,True,True,OK
0083,True,True,OK
0084,True,True,OK
0085,True,True,OK
0086,True,True,OK
0087,True,True,OK
0088,True,True,OK
0089,True,True,OK
0090,True,True,OK
0091,True,True,OK
0092,True,True,OK
0093,True,True,OK
0094,True,True,OK
0095,True,True,OK
0096,True,True,OK
0097,True,True,OK
0098,True,True,OK
0099,True,True,OK
0100,True,True,OK
0101,True,True,OK
0102,True,True,OK
0103,True,True,OK
0104,True,True,OK
0105,True,True,OK
0106,True,True,OK
0107,True,True,OK
0108,True,True,OK
0109,True,True,OK
0110,True,True,OK
0111,True,True,OK
0112,True,True,OK
0113,True,True,OK
0114,True,True,OK
0115,True,True,OK
0116,True,True,OK
0117,True,True,OK
0118,True,True,OK
0119,True,True,OK
0120,True,True,OK
0121,True,True,OK
0122,True,True,OK
0123,True,True,OK
0124,True,True,OK
0125,True,True,OK
0126,True,True,OK
0127,True,True,OK
0128,True,True,OK
0129,True,True,OK
0130,True,True,OK
0131,True,True,OK
0132,True,True,OK
0133,True,True,OK
0134,True,True,OK
0135,True,True,OK
0136,True,True,OK
0137,True,True,OK
0138,True,True,OK
0139,True,True,OK
0140,True,True,OK
0141,True,True,OK
0142,True,True,OK
0143,True,True,OK
0144,True,True,OK
0145,True,True,OK
0146,True,True,OK
0147,True,True,OK
0148,True,True,OK
0149,True,True,OK
0150,True,True,OK
0151,True,True,OK
0152,True,True,OK
0153,True,True,OK
0154,True,True,OK
0155,True,True,OK
0156,True,True,OK
0157,True,True,OK
0158,True,True,OK
0159,True,True,OK
0160,True,True,OK
0161,True,True,OK
0162,True,True,OK
0163,True,True,OK
0164,True,True,OK
0165,True,True,OK
0166,True,True,OK
0167,False,False,MISSING_BOTH
0168,True,True,OK
0169,True,True,OK
0170,True,True,OK
0171,True,True,OK
0172,True,True,OK
0173,True,True,OK
0174,True,True,OK
0175,True,True,OK
0176,True,True,OK
0177,True,True,OK
0178,True,True,OK
0179,True,True,OK
0180,True,True,OK
0181,True,True,OK
0182,True,True,OK
0183,True,True,OK
0184,True,True,OK
0185,True,True,OK
0186,True,True,OK
0187,True,True,OK
0188,True,True,OK
0189,True,True,OK
0190,True,True,OK
0191,True,True,OK
0192,True,True,OK
0193,True,True,OK
0194,True,True,OK
0195,True,True,OK
0196,True,True,OK
0197,True,True,OK
0198,True,True,OK
0199,True,True,OK
0200,True,True,OK
0201,True,True,OK
0202,True,True,OK
0203,True,True,OK
0204,True,True,OK
0205,True,True,OK
0206,True,True,OK
0207,True,True,OK
0208,True,True,OK
0209,True,True,OK
0210,True,True,OK
0211,True,True,OK
0212,True,True,OK
0213,True,True,OK
0214,True,True,OK
0215,True,True,OK
0216,True,True,OK
0217,True,True,OK
0218,True,True,OK
0219,True,True,OK
0220,True,True,OK
0221,True,True,OK
0222,True,True,OK
0223,True,True,OK
0224,True,True,OK
0225,True,True,OK
0226,True,True,OK
0227,True,True,OK
0228,True,True,OK
0229,True,True,OK
0230,True,True,OK
0231,True,True,OK
0232,True,True,OK
0233,True,True,OK
0234,True,True,OK
0235,True,True,OK
0236,True,True,OK
0237,True,True,OK
0238,True,True,OK
0239,True,True,OK
0240,True,True,OK
0241,True,True,OK
0242,True,True,OK
0243,True,True,OK
0244,True,True,OK
0245,True,True,OK
0246,True,True,OK
0247,True,True,OK
0248,True,True,OK
0249,True,True,OK
0250,True,True,OK
0251,True,True,OK
0252,True,True,OK
0253,True,True,OK
0254,True,True,OK
0255,True,True,OK
0256,True,True,OK
0257,True,True,OK
0258,True,True,OK
0259,True,True,OK
0260,True,True,OK
0261,True,True,OK
0262,True,True,OK
0263,True,True,OK
0264,True,True,OK
0265,True,True,OK
0266,True,True,OK
0267,True,True,OK
0268,True,True,OK
0269,True,True,OK
0270,True,True,OK
0271,True,True,OK
0272,True,True,OK
0273,True,True,OK
0274,True,True,OK
0275,True,True,OK
0276,True,True,OK
0277,True,True,OK
0278,True,True,OK
0279,True,True,OK
0280,True,True,OK
0281,True,True,OK
0282,True,True,OK
0283,True,True,OK
0284,True,True,OK
0285,True,True,OK
0286,True,True,OK
0287,True,True,OK
0288,True,True,OK
0289,True,True,OK
0290,True,True,OK
0291,True,True,OK
0292,True,True,OK
0293,True,True,OK
0294,True,True,OK
0295,True,True,OK
0296,True,True,OK
0297,True,True,OK
0298,True,True,OK
0299,True,True,OK
0300,True,True,OK
0301,True,True,OK
0302,True,True,OK
0303,True,True,OK
0304,True,True,OK
0305,True,True,OK
0306,True,True,OK
0307,True,True,OK
0308,True,True,OK
0309,True,True,OK
0310,True,True,OK
0311,True,True,OK
0312,True,True,OK
0313,True,True,OK
0314,True,True,OK
0315,True,True,OK
0316,True,True,OK
0317,True,True,OK
0318,True,True,OK
0319,True,True,OK
0320,True,True,OK
0321,True,True,OK
0322,True,True,OK
0323,True,True,OK
0324,True,True,OK
0325,True,True,OK
0326,True,True,OK
0327,True,True,OK
0328,True,True,OK
0329,True,True,OK
0330,True,True,OK
0331,True,True,OK
0332,True,True,OK
0333,True,True,OK
0334,True,True,OK
0335,True,True,OK
0336,True,True,OK
0337,True,True,OK
0338,True,True,OK
0339,True,True,OK
0340,True,True,OK
0341,True,True,OK
0342,True,True,OK
0343,True,True,OK
0344,True,True,OK
0345,True,True,OK
0346,True,True,OK
0347,True,True,OK
0348,True,True,OK
0349,True,True,OK
0350,True,True,OK
0351,True,True,OK
0352,True,True,OK
