name_ecg,quality
0002,Barely acceptable
0003,Barely acceptable
0004,Barely acceptable
0005,Barely acceptable
0007,Unacceptable
0008,Barely acceptable
0009,Barely acceptable
0010,Unacceptable
0011,Barely acceptable
0012,Barely acceptable
0013,Barely acceptable
0014,Barely acceptable
0015,Barely acceptable
0017,Barely acceptable
0019,Barely acceptable
0020,Unacceptable
0021,Barely acceptable
0022,Barely acceptable
0023,Barely acceptable
0024,Barely acceptable
0025,Barely acceptable
0030,Barely acceptable
0032,Barely acceptable
0034,Barely acceptable
0035,Unacceptable
0036,Barely acceptable
0039,Barely acceptable
0040,Barely acceptable
0041,Barely acceptable
0043,Barely acceptable
0044,Unacceptable
0046,Unacceptable
0048,Barely acceptable
0049,Barely acceptable
0050,Barely acceptable
0051,Unacceptable
0052,Barely acceptable
0055,Barely acceptable
0056,Barely acceptable
0057,Barely acceptable
0058,Unacceptable
0059,Unacceptable
0061,Barely acceptable
0062,Unacceptable
0063,Barely acceptable
0065,Barely acceptable
0066,Barely acceptable
0068,Barely acceptable
0069,Barely acceptable
0070,Barely acceptable
0072,Unacceptable
0073,Barely acceptable
0074,Barely acceptable
0075,Barely acceptable
0076,Barely acceptable
0077,Barely acceptable
0079,Barely acceptable
0080,Barely acceptable
0081,Barely acceptable
0082,Barely acceptable
0083,Barely acceptable
0084,Barely acceptable
0085,Barely acceptable
0086,Barely acceptable
0087,Barely acceptable
0089,Barely acceptable
0091,Barely acceptable
0092,Barely acceptable
0093,Barely acceptable
0095,Barely acceptable
0096,Unacceptable
0098,Barely acceptable
0099,Barely acceptable
0100,Barely acceptable
0101,Barely acceptable
0102,Barely acceptable
0103,Barely acceptable
0104,Barely acceptable
0107,Unacceptable
0108,Barely acceptable
0109,Barely acceptable
0110,Barely acceptable
0111,Unacceptable
0112,Barely acceptable
0113,Barely acceptable
0114,Barely acceptable
0115,Unacceptable
0116,Barely acceptable
0117,Barely acceptable
0118,Barely acceptable
0119,Barely acceptable
0120,Barely acceptable
0121,Unacceptable
0122,Barely acceptable
0123,Barely acceptable
0124,Barely acceptable
0125,Barely acceptable
0126,Barely acceptable
0127,Barely acceptable
0128,Barely acceptable
0129,Barely acceptable
0130,Barely acceptable
0133,Barely acceptable
0135,Barely acceptable
0136,Barely acceptable
0137,Barely acceptable
0138,Barely acceptable
0139,Barely acceptable
0140,Unacceptable
0141,Barely acceptable
0142,Barely acceptable
0143,Barely acceptable
0144,Barely acceptable
0145,Barely acceptable
0146,Barely acceptable
0147,Barely acceptable
0148,Barely acceptable
0149,Barely acceptable
0150,Barely acceptable
0151,Barely acceptable
0152,Barely acceptable
0154,Barely acceptable
0155,Barely acceptable
0156,Barely acceptable
0157,Barely acceptable
0158,Barely acceptable
0159,Barely acceptable
0160,Barely acceptable
0161,Unacceptable
0162,Barely acceptable
0163,Barely acceptable
0164,Barely acceptable
0166,Barely acceptable
0167,Unacceptable
0168,Barely acceptable
0169,Barely acceptable
0171,Barely acceptable
0172,Unacceptable
0173,Barely acceptable
0174,Barely acceptable
0176,Barely acceptable
0178,Barely acceptable
0179,Barely acceptable
0180,Barely acceptable
0181,Barely acceptable
0182,Barely acceptable
0183,Barely acceptable
0185,Barely acceptable
0186,Barely acceptable
0187,Barely acceptable
0189,Barely acceptable
0191,Barely acceptable
0192,Barely acceptable
0193,Barely acceptable
0194,Unacceptable
0195,Unacceptable
0196,Unacceptable
0198,Barely acceptable
0199,Barely acceptable
0200,Barely acceptable
0201,Barely acceptable
0202,Barely acceptable
0203,Barely acceptable
0204,Barely acceptable
0205,Barely acceptable
0207,Barely acceptable
0208,Barely acceptable
0209,Barely acceptable
0210,Barely acceptable
0211,Barely acceptable
0212,Barely acceptable
0213,Barely acceptable
0214,Barely acceptable
0216,Barely acceptable
0217,Barely acceptable
0218,Unacceptable
0219,Barely acceptable
0221,Unacceptable
0222,Barely acceptable
0224,Barely acceptable
0225,Barely acceptable
0227,Barely acceptable
0228,Barely acceptable
0229,Unacceptable
0230,Barely acceptable
0231,Barely acceptable
0233,Barely acceptable
0234,Barely acceptable
0235,Barely acceptable
0237,Barely acceptable
0238,Barely acceptable
0240,Barely acceptable
0241,Barely acceptable
0242,Barely acceptable
0244,Unacceptable
0245,Barely acceptable
0246,Unacceptable
0248,Barely acceptable
0251,Barely acceptable
0252,Barely acceptable
0253,Unacceptable
0255,Barely acceptable
0256,Barely acceptable
0257,Barely acceptable
0258,Barely acceptable
0259,Barely acceptable
0260,Barely acceptable
0261,Barely acceptable
0262,Barely acceptable
0263,Barely acceptable
0264,Barely acceptable
0265,Barely acceptable
0266,Barely acceptable
0268,Barely acceptable
0269,Unacceptable
0273,Barely acceptable
0274,Unacceptable
0275,Barely acceptable
0278,Barely acceptable
0279,Barely acceptable
0282,Unacceptable
0283,Barely acceptable
0284,Barely acceptable
0287,Barely acceptable
0290,Barely acceptable
0291,Barely acceptable
0292,Barely acceptable
0293,Barely acceptable
0294,Barely acceptable
0296,Barely acceptable
0297,Barely acceptable
0298,Unacceptable
0299,Barely acceptable
0300,Barely acceptable
0301,Barely acceptable
0303,Barely acceptable
0307,Barely acceptable
0308,Barely acceptable
0311,Barely acceptable
0312,Barely acceptable
0314,Barely acceptable
0315,Barely acceptable
0316,Barely acceptable
0317,Barely acceptable
0321,Barely acceptable
0323,Barely acceptable
0324,Unacceptable
0325,Barely acceptable
0327,Unacceptable
0328,Barely acceptable
0330,Barely acceptable
0332,Barely acceptable
0333,Barely acceptable
0335,Barely acceptable
0336,Barely acceptable
0337,Barely acceptable
0338,Barely acceptable
0341,Barely acceptable
0343,Barely acceptable
0344,Barely acceptable
0345,Unacceptable
0346,Barely acceptable
0347,Barely acceptable
0348,Barely acceptable
0349,Barely acceptable
0350,Barely acceptable
0351,Barely acceptable
0354,Barely acceptable
0356,Barely acceptable
0357,Barely acceptable
0358,Barely acceptable
0359,Barely acceptable
0360,Unacceptable
0361,Barely acceptable
0362,Barely acceptable
0364,Barely acceptable
0365,Barely acceptable
0366,Barely acceptable
0367,Barely acceptable
0368,Barely acceptable
0369,Barely acceptable
0370,Unacceptable
0372,Barely acceptable
0376,Barely acceptable
0380,Barely acceptable
0381,Unacceptable
0383,Barely acceptable
0386,Barely acceptable
0388,Barely acceptable
0389,Barely acceptable
0390,Barely acceptable
0391,Barely acceptable
0393,Barely acceptable
0394,Barely acceptable
0395,Barely acceptable
0396,Barely acceptable
0397,Barely acceptable
0399,Barely acceptable
0401,Barely acceptable
