name_ecg,quality
0007,Barely acceptable
0010,Barely acceptable
0011,Barely acceptable
0020,Barely acceptable
0024,Barely acceptable
0035,Barely acceptable
0036,Barely acceptable
0044,Barely acceptable
0046,Barely acceptable
0058,Barely acceptable
0059,Barely acceptable
0062,Barely acceptable
0072,Barely acceptable
0089,Barely acceptable
0096,Barely acceptable
0098,Barely acceptable
0107,Barely acceptable
0111,Barely acceptable
0112,Barely acceptable
0115,Barely acceptable
0121,Barely acceptable
0140,Barely acceptable
0143,Barely acceptable
0145,Barely acceptable
0161,Barely acceptable
0191,Barely acceptable
0194,Barely acceptable
0196,Barely acceptable
0201,Barely acceptable
0205,Barely acceptable
0207,Barely acceptable
0216,Barely acceptable
0218,Barely acceptable
0221,Barely acceptable
0246,Barely acceptable
0253,Barely acceptable
0266,Barely acceptable
0269,Barely acceptable
0274,Barely acceptable
0282,Barely acceptable
0283,Barely acceptable
0290,Barely acceptable
0292,Barely acceptable
0298,Barely acceptable
0308,Barely acceptable
0316,Barely acceptable
0317,Barely acceptable
0324,Barely acceptable
0327,Barely acceptable
0333,Barely acceptable
0337,Barely acceptable
0345,Barely acceptable
0360,Barely acceptable
0370,Barely acceptable
0383,Barely acceptable
0390,Barely acceptable
0402,Barely acceptable
0405,Barely acceptable
0406,Barely acceptable
0418,Barely acceptable
0419,Barely acceptable
0420,Barely acceptable
0421,Barely acceptable
0438,Barely acceptable
0449,Barely acceptable
0450,Barely acceptable
0481,Barely acceptable
0482,Barely acceptable
0495,Barely acceptable
0502,Barely acceptable
0509,Barely acceptable
0513,Barely acceptable
0518,Barely acceptable
0523,Barely acceptable
0528,Barely acceptable
0540,Barely acceptable
0549,Barely acceptable
0562,Barely acceptable
0563,Barely acceptable
0566,Barely acceptable
0583,Barely acceptable
0591,Barely acceptable
0607,Barely acceptable
0615,Barely acceptable
0620,Barely acceptable
0623,Barely acceptable
0627,Barely acceptable
0628,Barely acceptable
0630,Barely acceptable
0631,Barely acceptable
0646,Barely acceptable
0647,Barely acceptable
0651,Barely acceptable
0652,Barely acceptable
0658,Barely acceptable
0659,Barely acceptable
0661,Barely acceptable
0682,Barely acceptable
0685,Barely acceptable
0689,Barely acceptable
0706,Barely acceptable
0729,Barely acceptable
0733,Barely acceptable
0735,Barely acceptable
0755,Barely acceptable
0760,Barely acceptable
0784,Barely acceptable
0810,Barely acceptable
0818,Barely acceptable
0821,Barely acceptable
0822,Barely acceptable
0827,Barely acceptable
0829,Barely acceptable
0839,Barely acceptable
0850,Barely acceptable
0855,Barely acceptable
0857,Barely acceptable
0858,Barely acceptable
0860,Barely acceptable
0882,Barely acceptable
0884,Barely acceptable
0905,Barely acceptable
0919,Barely acceptable
0934,Barely acceptable
0940,Barely acceptable
0941,Barely acceptable
0949,Barely acceptable
0967,Barely acceptable
1005,Barely acceptable
1018,Barely acceptable
1020,Barely acceptable
1035,Barely acceptable
1040,Barely acceptable
1047,Barely acceptable
1049,Barely acceptable
1053,Barely acceptable
1055,Barely acceptable
1070,Barely acceptable
1075,Barely acceptable
1085,Barely acceptable
1088,Barely acceptable
1101,Barely acceptable
1115,Barely acceptable
